,sid,created,gps_breite,gps_laenge
90,40117905,2017-03-08 11:21:30,52.492288,13.270462
91,40117905,2017-03-08 11:27:30,52.492728,13.271332999999998
92,40117905,2017-03-08 11:29:30,52.49899,13.282592000000001
93,40117905,2017-03-08 11:39:35,52.535517000000006,13.359264999999999
94,40117905,2017-03-08 10:54:35,52.529303000000006,13.454782000000002
95,40117905,2017-03-08 10:56:35,52.541755,13.435073000000001
96,40117905,2017-03-08 11:19:30,52.492284999999995,13.270457999999998
97,40117905,2017-03-08 11:21:30,52.492288,13.270462
98,40117905,2017-03-08 11:27:30,52.492728,13.271332999999998
99,40117905,2017-03-08 11:29:30,52.49899,13.282592000000001
